[rosmaster.main][INFO] 2019-05-29 15:51:49,462: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-05-29 15:51:49,462: Starting ROS Master Node
[xmlrpc][INFO] 2019-05-29 15:51:49,466: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-05-29 15:51:49,467: Started XML-RPC server [http://192.168.1.18:11311/]
[rosmaster.master][INFO] 2019-05-29 15:51:49,468: Master initialized: port[11311], uri[http://192.168.1.18:11311/]
[xmlrpc][INFO] 2019-05-29 15:51:49,468: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-05-29 15:51:49,484: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-05-29 15:51:49,488: +PARAM [/roslaunch/uris/host_192_168_1_18__35936] by /roslaunch
[rosmaster.master][INFO] 2019-05-29 15:51:49,499: +PUB [/rosout] /Zshan_serial http://192.168.1.18:36328/
[rosmaster.master][INFO] 2019-05-29 15:51:49,502: +PUB [/rosout] /odom_data http://192.168.1.18:40449/
[rosmaster.master][INFO] 2019-05-29 15:51:49,504: +SERVICE [/Zshan_serial/get_loggers] /Zshan_serial http://192.168.1.18:36328/
[rosmaster.master][INFO] 2019-05-29 15:51:49,507: +PUB [/rosout] /rec_rpc_server http://192.168.1.18:44072/
[rosmaster.master][INFO] 2019-05-29 15:51:49,512: +SERVICE [/odom_data/get_loggers] /odom_data http://192.168.1.18:40449/
[rosmaster.master][INFO] 2019-05-29 15:51:49,513: +PUB [/rosout] /dashan_diagnosis http://192.168.1.18:34745/
[rosmaster.master][INFO] 2019-05-29 15:51:49,514: +PUB [/rosout] /dashan_mode http://192.168.1.18:33527/
[rosmaster.master][INFO] 2019-05-29 15:51:49,517: +SERVICE [/Zshan_serial/set_logger_level] /Zshan_serial http://192.168.1.18:36328/
[rosmaster.master][INFO] 2019-05-29 15:51:49,520: +PUB [/rosout] /dashan_core http://192.168.1.18:41184/
[rosmaster.master][INFO] 2019-05-29 15:51:49,523: +SERVICE [/rec_rpc_server/get_loggers] /rec_rpc_server http://192.168.1.18:44072/
[rosmaster.master][INFO] 2019-05-29 15:51:49,524: +SERVICE [/odom_data/set_logger_level] /odom_data http://192.168.1.18:40449/
[rosmaster.master][INFO] 2019-05-29 15:51:49,526: +SERVICE [/dashan_diagnosis/get_loggers] /dashan_diagnosis http://192.168.1.18:34745/
[rosmaster.master][INFO] 2019-05-29 15:51:49,529: +SERVICE [/dashan_mode/get_loggers] /dashan_mode http://192.168.1.18:33527/
[rosmaster.master][INFO] 2019-05-29 15:51:49,530: +SERVICE [/dashan_core/get_loggers] /dashan_core http://192.168.1.18:41184/
[rosmaster.master][INFO] 2019-05-29 15:51:49,534: +SERVICE [/rec_rpc_server/set_logger_level] /rec_rpc_server http://192.168.1.18:44072/
[rosmaster.master][INFO] 2019-05-29 15:51:49,536: +SERVICE [/dashan_diagnosis/set_logger_level] /dashan_diagnosis http://192.168.1.18:34745/
[rosmaster.master][INFO] 2019-05-29 15:51:49,538: +SERVICE [/dashan_mode/set_logger_level] /dashan_mode http://192.168.1.18:33527/
[rosmaster.master][INFO] 2019-05-29 15:51:49,541: +SERVICE [/dashan_core/set_logger_level] /dashan_core http://192.168.1.18:41184/
[rosmaster.master][INFO] 2019-05-29 15:51:49,554: +PUB [/dashan_diag] /dashan_diagnosis http://192.168.1.18:34745/
[rosmaster.master][INFO] 2019-05-29 15:51:49,559: +PUB [/move_base_simple/goal] /dashan_core http://192.168.1.18:41184/
[rosmaster.master][INFO] 2019-05-29 15:51:49,563: +PUB [/zhishanAndroid/diagnosis] /dashan_diagnosis http://192.168.1.18:34745/
[rosmaster.master][INFO] 2019-05-29 15:51:49,570: +PUB [/dashan_hmiCmd] /dashan_core http://192.168.1.18:41184/
[rosmaster.master][INFO] 2019-05-29 15:51:49,573: +PUB [/turtlebot_teleop/cmd_vel] /dashan_diagnosis http://192.168.1.18:34745/
[rosmaster.master][INFO] 2019-05-29 15:51:49,576: +SUB [/turtlebot_teleop/cmd_vel] /Zshan_serial http://192.168.1.18:36328/
[rosmaster.master][INFO] 2019-05-29 15:51:49,578: +PUB [/zhishanAndroid/hmiStatus] /dashan_core http://192.168.1.18:41184/
[rosmaster.master][INFO] 2019-05-29 15:51:49,587: +SUB [/wheel_speed] /odom_data http://192.168.1.18:40449/
[rosmaster.master][INFO] 2019-05-29 15:51:49,590: +PUB [/initialpose] /dashan_core http://192.168.1.18:41184/
[rosmaster.master][INFO] 2019-05-29 15:51:49,598: +SUB [/tf] /rec_rpc_server http://192.168.1.18:44072/
[rosmaster.master][INFO] 2019-05-29 15:51:49,599: +PUB [/zhishanAndroid/zhishancmd] /dashan_core http://192.168.1.18:41184/
[rosmaster.master][INFO] 2019-05-29 15:51:49,601: +SUB [/dashan_mode] /dashan_mode http://192.168.1.18:33527/
[rosmaster.master][INFO] 2019-05-29 15:51:49,609: +PUB [/core_diagnosis] /dashan_core http://192.168.1.18:41184/
[rosmaster.master][INFO] 2019-05-29 15:51:49,617: +PUB [/move_base/cancel] /dashan_core http://192.168.1.18:41184/
[rosmaster.master][INFO] 2019-05-29 15:51:49,626: +SUB [/zhishanAndroid/zhishancmd] /dashan_diagnosis http://192.168.1.18:34745/
[rosmaster.master][INFO] 2019-05-29 15:51:49,629: +SUB [/smooth_cmd_vel] /Zshan_serial http://192.168.1.18:36328/
[rosmaster.master][INFO] 2019-05-29 15:51:49,639: +SUB [/amcl_pose] /odom_data http://192.168.1.18:40449/
[rosmaster.master][INFO] 2019-05-29 15:51:49,649: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-05-29 15:51:49,650: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2019-05-29 15:51:49,652: +PARAM [/velocity_smoother/frequency] by /roslaunch
